number,AER,Growth_stage,Replication,soil_type,Genotype,Genotypes,Class,Severity,GGA,GA,Necrosis,a,u,Chlorosis,b,v,CSI,NGRDI,TGI,Hue,Intensity,Lightness,Saturation
148,AER4,R3,Rep1,red,Tumbe,G12,7,22,0.48,0.52,0,-8.89,-1.59,2.46,21.65,27.86,7.54,0,0,67.22,0.53,59.69,0.13
149,AER4,R3,Rep1,red,Murambatsvina,G9,8,23.8,0.46,0.5,0,-9.71,-3.22,3.68,20.68,26.92,8.4,0,0,73.29,0.53,59.31,0.12
150,AER4,R3,Rep1,red,Munzungu_munemari,G8,7,28,0.58,0.68,20.15,-12.57,-6.31,4.32,23.04,29.14,14.76,4.92,3076.44,80.76,0.46,54.01,0.16
151,AER4,R3,Rep1,red,Chizambia,G3,6,33,0.54,0.59,63.35,-8.48,-7.66,4.8,20.12,26.39,18.37,3.18,1766.79,67.72,0.56,61.88,0.11
152,AER4,R3,Rep1,red,Chigunwe,G2,6,33,0.79,0.35,48.06,-15.71,-18.12,7.41,42.16,49.94,58.14,18.17,3226.78,95.79,0.54,61.24,0.11
153,AER4,R3,Rep1,red,Bobwhite,G1,6,36.2,0.17,0.24,94.11,-5.12,16.81,11,38.13,53.31,57.83,14.79,1626.12,57.06,0.53,58.36,0.1
154,AER4,R3,Rep1,red,Guinea_fowl,G4,7,38.5,0.35,0.38,80.03,-33.63,-20.45,15.34,38.67,33.45,68,15.75,1200.34,44.31,0.52,56.7,0.12
155,AER4,R3,Rep1,red,Muromo_wehoto,G10,8,42.6,0.58,0.64,18.39,-12.51,-6.56,64.41,22.2,29.09,10,6.1,2957.35,82.58,0.52,59.31,0.13
156,AER4,R3,Rep1,red,Kabhutsu,G5,7,55.3,0.09,0.22,58.47,-106,7.1,75,13.97,16.38,7.21,-5.3,453.67,29.08,0.43,47.22,0.1
157,AER4,R3,Rep2,red,Kasawaya,G6,9,18,0.38,0.06,50.38,-7.2,-3.24,1.52,41.35,36.25,60.62,-10.23,0,59.55,0.51,56.96,0.14
158,AER4,R3,Rep2,red,Natal_common,G11,8,22.5,0.45,0.52,25.35,-10.8,-3.27,3.06,24.2,30.89,14.5,4.42,3145.72,71.58,0.52,59.45,0.15
159,AER4,R3,Rep2,red,Makulu_red,G7,7,22.6,0.38,0.39,68.25,-8.46,12.52,3.53,21.43,48.35,40.5,2.23,0,65.67,0.51,57.81,0.13
160,AER4,R3,Rep2,red,Tumbe,G12,8,21.5,0.34,0.41,46.78,-5.18,3.58,4.28,20.85,26.69,17.48,-1.36,1413.68,49.25,0.58,63.09,0.12
161,AER4,R3,Rep2,red,Murambatsvina,G9,8,24.1,0.28,0.33,49.39,-3.79,5.18,4.68,20.1,25.18,16.45,-1.66,1475.02,44.46,0.54,59.73,0.12
162,AER4,R3,Rep2,red,Munzungu_munemari,G8,7,28.3,0.36,0.41,49.3,-4.22,4.82,4.79,20.78,25.87,12.76,-1.8,1393.81,46.35,0.53,58.65,0.13
163,AER4,R3,Rep2,red,Chizambia,G3,6,33.5,0.56,0.56,61.95,-6.24,7.55,4.98,19.35,23.94,16.06,2.12,1191.92,42.81,0.52,57.09,0.12
164,AER4,R3,Rep2,red,Chigunwe,G2,6,34,0.73,0.37,58.01,-14.03,-18.08,8.46,43.73,42.95,50.87,17.14,3329.04,84.99,0.51,58.97,0.14
165,AER4,R3,Rep2,red,Bobwhite,G1,6,36.8,0.17,0.26,96.64,-7.94,-16.56,10.5,34.32,50.44,59.59,13.76,3159.86,63.93,0.51,58.14,0.16
166,AER4,R3,Rep2,red,Guinea_fowl,G4,7,39,0.19,0.35,80.77,-33.55,-14.36,16.58,33.91,38.47,70,16.85,3839.29,100.61,0.52,60.41,0.13
167,AER4,R3,Rep2,red,Muromo_wehoto,G10,8,43,0.55,0.6,25.74,-10.6,-4.28,66.54,21.16,27.61,7.9,4.26,2484.45,76.55,0.53,59.36,0.12
168,AER4,R3,Rep2,red,Kabhutsu,G5,7,55.8,0.08,0.31,57.71,-1.38,7.61,74,17.74,22.05,5.31,-3.92,700.21,34.43,0.55,59.29,0.11
169,AER4,R3,Rep3,red,Kasawaya,G6,9,18.9,0.4,0.09,50.81,-7.85,-3.45,1.71,45.81,36.65,65.3,-11.5,1987.73,35.89,0.45,52.86,0.36
170,AER4,R3,Rep3,red,Natal_common,G11,8,23,0.13,0.21,72.61,2.33,17.02,5.43,26.27,29.79,36.19,-8.53,978.6,33.24,0.51,56.43,0.22
171,AER4,R3,Rep3,red,Makulu_red,G7,8,22.8,0.39,0.37,70.23,-8.87,12.87,5.49,26.25,49.5,45.6,2.2,0,45.86,0.47,55.25,0.34
172,AER4,R3,Rep3,red,Tumbe,G12,7,23.5,0.35,0.45,61.15,-4.27,5.98,5.75,23.89,28.63,21.21,-4.69,1286.57,47.26,0.49,55.46,0.18
173,AER4,R3,Rep3,red,Murambatsvina,G9,8,24.8,0.21,0.29,62.62,-1.39,11.42,6.81,25.56,30.8,26.97,-5.05,1344.52,39.05,0.56,61.97,0.18
174,AER4,R3,Rep3,red,Munzungu_munemari,G8,7,28.7,0.24,0.35,74.12,-1.1,10.97,7.01,24.58,28.63,29.81,-7.69,841.02,39.25,0.49,55.21,0.2
175,AER4,R3,Rep3,red,Chizambia,G3,7,33.9,0.51,0.65,67.64,-7.28,6.78,7.3,22.06,27.01,19.69,3.37,1237.42,43.38,0.53,58.43,0.15
176,AER4,R3,Rep3,red,Chigunwe,G2,6,34.5,0.77,0.36,60.31,-13.6,16.24,13,44.71,48.47,52.81,15.04,2801.57,46.82,0.47,55.52,0.32
177,AER4,R3,Rep3,red,Bobwhite,G1,6,37,0.1,0.26,96.3,-4.07,16.22,15.3,37.17,50.49,60.33,16.6,2838.34,43,0.49,57.38,0.34
178,AER4,R3,Rep3,red,Guinea_fowl,G4,7,39.8,0.18,0.22,84.63,34.41,-25.5,16.71,34.91,35.81,75,13.34,1617.61,35.75,0.44,51.71,0.36
179,AER4,R3,Rep3,red,Muromo_wehoto,G10,8,43.8,0.2,0.46,43.38,-6.19,7.56,61.36,35.75,39.46,56.58,-3.61,3349.31,51.82,0.45,54.05,0.34
180,AER4,R3,Rep3,red,Kabhutsu,G5,7,56,0.05,0.31,58.7,-1.35,7.33,70,17.85,20.35,8.44,-5.4,1324.08,32.41,0.52,58.56,0.31
181,AER4,R3,Rep4,sand,Kasawaya,G6,9,24,0.02,0.22,59.3782,-2.74,12.67,4.5532,34.17,38.64,88.57,-5.7382,2307.3008,44.75,0.51,58.63,0.29
182,AER4,R3,Rep4,sand,Natal_common,G11,8,26.5,0.01,0.21,61.8558,-2.33,13.44,5.4282,34.66,38.86,94.23,-6.387,2244.0613,44.21,0.5,58.15,0.3
183,AER4,R3,Rep4,sand,Makulu_red,G7,7,27,0.01,0.23,54.5887,-3.54,12.15,14.6827,35.81,40.45,93.95,-5.1167,2607.551,46.25,0.51,59.46,0.3
184,AER4,R3,Rep4,sand,Tumbe,G12,3,27.89,0.2,0.48,50.132,-6.69,2.95,20.8185,24.98,30.45,58.11,-2.2654,1617.9946,54.71,0.5,56.92,0.18
185,AER4,R3,Rep4,sand,Murambatsvina,G9,8,28.5,0.02,0.28,52.385,-4.07,10.66,22.6311,34.91,38.87,92.04,-5.157,2547.5069,47.58,0.48,55.98,0.31
186,AER4,R3,Rep4,sand,Munzungu_munemari,G8,7,32,0.05,0.39,48.4535,-5.95,7.69,23.2474,34.31,39.01,88.13,-4.0172,2609.5287,50.97,0.48,56.94,0.3
187,AER4,R3,Rep4,sand,Chizambia,G3,7,37,0.07,0.41,50.8125,-5.99,7.03,24.2559,32.58,37.63,83.6,-4.095,2352.9093,51.09,0.49,57.48,0.27
188,AER4,R3,Rep4,sand,Chigunwe,G2,6,37.8,0.11,0.52,39.3799,-8.85,3.66,24.5923,35.19,40.34,79.24,-2.0606,3029.4445,57.08,0.48,56.84,0.3
189,AER4,R3,Rep4,sand,Bobwhite,G1,6,41,0.02,0.29,46.8189,-4.47,10.57,24.8771,36.02,40.22,92.68,-4.3878,2877.0656,48.21,0.49,57.22,0.32
190,AER4,R3,Rep4,sand,Guinea_fowl,G4,6,42,0.13,0.29,91.0613,-1.86,12.02,25.6684,29.78,33.79,56.18,-8.3406,1331.7702,42.62,0.48,55.53,0.26
191,AER4,R3,Rep4,sand,Muromo_wehoto,G10,8,48,0.05,0.37,53.8495,-5.85,7.59,26.9769,33.37,38.44,85.29,-4.3925,2331.9758,50.62,0.5,58.04,0.28
192,AER4,R3,Rep4,sand,Kabhutsu,G5,7,60.5,0.02,0.07,94.5495,2.07,18.31,27.7801,30.05,33.55,66.66,-9.04,1295.9097,35.72,0.51,57.12,0.26
193,AER4,R3,Rep5,sand,Kasawaya,G6,9,24.5,0.01,0.21,59.5181,-3.7,10.79,5.0372,32.62,37.95,95.51,-4.7262,2193.3608,45.91,0.53,60.76,0.26
194,AER4,R3,Rep5,sand,Natal_common,G11,8,27.6,0,0.13,61.2773,-2.16,13.31,6.1417,33.53,37.92,97.26,-5.7431,2266.2523,43.67,0.51,58.51,0.28
195,AER4,R3,Rep5,sand,Makulu_red,G7,7,27.8,0.09,0.3,56.0602,-4.35,4.52,13.8981,20.32,25.77,70.1,-2.1923,1099.5095,46.17,0.56,61.65,0.12
196,AER4,R3,Rep5,sand,Tumbe,G12,8,28.5,0.02,0.21,78.2717,-2.5,10.79,13.9847,28.68,33.37,92.73,-5.9933,1529.7922,43.21,0.51,57.79,0.23
197,AER4,R3,Rep5,sand,Murambatsvina,G9,8,29.5,0,0.14,61.1788,-2.42,11.54,13.9874,30.53,34.76,98.44,-5.4252,1925.3031,43.78,0.49,56.28,0.26
198,AER4,R3,Rep5,sand,Munzungu_munemari,G8,5,32.5,0,0.02,71.3911,2,19.94,19.3308,33.89,37.38,100,-9.0509,1565.2854,37.37,0.51,58.68,0.29
199,AER4,R3,Rep5,sand,Chizambia,G3,7,37.5,0.02,0.22,78.292,-2.51,10.66,20.6504,28.52,33.11,91.97,-5.9932,1535.4807,43.31,0.5,57.21,0.23
200,AER4,R3,Rep5,sand,Chigunwe,G2,6,38,0.04,0.36,58.857,-5.77,7.45,22.0606,32.59,37.81,87.74,-4.3059,2245.4025,50.45,0.5,58.4,0.27
201,AER4,R3,Rep5,sand,Bobwhite,G1,6,41.8,0.02,0.19,72.2371,-2.5,11.86,23.8642,31.43,35.81,90.47,-6.0862,1863.3039,43.93,0.5,57.24,0.26
202,AER4,R3,Rep5,sand,Guinea_fowl,G4,7,42.8,0.01,0.1,93.1498,0.95,16.61,27.7118,30.56,33.91,93.98,-8.6772,1480.6987,37.99,0.49,55.58,0.27
203,AER4,R3,Rep5,sand,Muromo_wehoto,G10,8,48.9,0.01,0.25,63.6963,-3.52,10.56,29.1356,32.04,36.62,94.73,-5.3306,2106.7757,45.98,0.5,57.43,0.27
204,AER4,R3,Rep5,sand,Kabhutsu,G5,7,62,0.04,0.15,94.1452,-0.15,14.5,30.0213,28.97,33.17,72.51,-7.9043,1285.0775,38.8,0.51,57.83,0.24
205,AER4,R3,Rep6,sand,Kasawaya,G6,9,25.8,0.08,0.32,45.0316,-5.95,8.57,4.3253,36.56,41.15,73.5,-3.2914,3099.1546,50.81,0.49,57.8,0.32
206,AER4,R3,Rep6,sand,Natal_common,G11,8,28,0.15,0.32,60.4754,-5.43,9.57,7.4919,36.08,41.73,53.76,-3.6008,2750.7486,49.26,0.53,61.98,0.29
207,AER4,R3,Rep6,sand,Makulu_red,G7,8,28.9,0.13,0.41,32.6812,-9.01,4.82,8.4327,38.78,43.94,69.34,-0.9245,3943.5281,56.24,0.49,58.85,0.34
208,AER4,R3,Rep6,sand,Tumbe,G12,5,30.1,0.38,0.62,34.529,-12.13,-1.66,11.4578,34.06,39.39,39.06,1.4939,3675.4084,65.93,0.45,54.49,0.3
209,AER4,R3,Rep6,sand,Murambatsvina,G9,8,31.5,0.06,0.36,42.6566,-6.08,9.12,12.9022,39.25,42.86,83.65,-3.5893,3550.7794,51.27,0.46,56.12,0.37
210,AER4,R3,Rep6,sand,Munzungu_munemari,G8,4,32.9,0.55,0.69,31.0139,-13.67,-4.99,12.9073,30.95,36.42,20.47,4.0215,3789.8517,72.67,0.43,52.22,0.27
211,AER4,R3,Rep6,sand,Chizambia,G3,7,38.5,0.59,0.66,30.7099,-12.13,-6.53,13.1072,21.02,27.62,11.51,3.9816,2337.9875,83.98,0.51,58.29,0.12
212,AER4,R3,Rep6,sand,Chigunwe,G2,6,39.5,0.29,0.7,18.5331,-14.24,-3.06,13.8376,38.79,44.38,58.86,2.9114,4436.3938,67.49,0.46,56.71,0.34
213,AER4,R3,Rep6,sand,Bobwhite,G1,6,42,0.24,0.44,40.1786,-9.06,1.49,17.3591,29.63,36.13,45.29,0.5702,2797.5148,59.6,0.52,60.25,0.22
214,AER4,R3,Rep6,sand,Guinea_fowl,G4,7,43,0.19,0.38,66.1186,-3.34,8.36,24.2968,27.67,30.54,50,-5.1784,1740.006,46.5,0.41,48.39,0.27
215,AER4,R3,Rep6,sand,Muromo_wehoto,G10,8,50.5,0.22,0.53,35.2656,-9.79,2.57,25.0309,35.94,41.32,58.19,-0.2706,3487.7776,58.89,0.48,57.39,0.31
216,AER4,R3,Rep6,sand,Kabhutsu,G5,7,63.8,0.12,0.21,82.3216,-2.52,11.21,25.4468,29.61,34.45,43.24,-6.0107,1693.918,43.35,0.52,58.68,0.24
