number,AER,Growth_stage,Replication,soil_type,Genotype,Genotypes,Class,Severity,GGA,Necrosis,a,u,Chlorosis,b,v,CSI,GA,NGRDI,TGI,Hue,Intensity,Lightness,Saturation
73,AER2,R2,Rep1,sand,Bobwhite,G1,7,42,0.1,68.6267,-2.64,5.86,10.5349,25.33,29.55,28.53,0.22,-2.8761,1829.4371,48.9,0.46,52.39,0.21
74,AER2,R2,Rep1,sand,Chigunwe,G2,5,25.5,0.19,53.7917,-4.2,5.05,2.0667,22.52,17.29,15.83,0.3,-3.4073,2372.9666,54.1,0.47,55.29,0.28
75,AER2,R2,Rep1,sand,Chizambia,G3,4,14.25,0.12,68.3426,-4.07,9.14,4.2082,29.07,35.67,14.74,0.16,-3.4911,1807.5644,45.3,0.6,66.41,0.19
76,AER2,R2,Rep1,sand,Guinea_fowl,G4,5,30.34,0.03,59.8447,-3.93,11.86,12.5031,30.57,37.73,45.68,0.15,-4.4437,1715.1542,42.43,0.65,71.09,0.19
77,AER2,R2,Rep1,sand,Kabhutsu,G5,7,51.72,0.11,67.8021,-4.36,7.4,18.6963,26.56,32.59,21.4,0.19,-3.4462,1692.0626,46.31,0.56,62.93,0.18
78,AER2,R2,Rep1,sand,Kasawaya,G6,7,58.41,0.14,41.4514,-1.46,14.25,12.278,30.16,35.21,57.23,0.1,-6.0144,1645.5623,41.08,0.54,61.01,0.23
79,AER2,R2,Rep1,sand,Makulu_red,G7,6,38,0.19,64.4628,-4.58,8.66,20.8872,30.65,36.31,50.56,0.18,-3.6275,2091.9584,47.46,0.53,60.83,0.23
80,AER2,R2,Rep1,sand,Munzungu_munemari,G8,7,45.12,0.29,54.1532,-5.39,7.23,29.3284,30.09,36.01,58.62,0.22,-3.1642,2064.4765,49.25,0.54,61.19,0.22
81,AER2,R2,Rep1,sand,Murambatsvina,G9,5,21.25,0.09,53.5902,-5.2,10.12,9.3441,36.67,42.12,69.52,0.28,-3.5332,2905.3139,48.89,0.53,61.66,0.3
82,AER2,R2,Rep1,sand,Muromo_wehoto,G10,6,33.93,0.27,60.2132,-6.66,3.49,15.2075,24.97,32.4,36.64,0.28,-0.7832,1668.068,52.39,0.64,70.11,0.14
83,AER2,R2,Rep1,sand,Natal_common,G11,7,44.36,0.26,62.1959,-4.09,10.2,22.4213,31.07,38.32,46.48,0.19,-3.626,1959.5286,45.05,0.63,70.07,0.2
84,AER2,R2,Rep1,sand,Tumbe,G12,6,36.99,0.14,24.8705,-5.65,7.03,17.6809,30.59,36.51,37.09,0.23,-3.031,2123.4177,49.84,0.53,61.06,0.23
85,AER2,R2,Rep2,sand,Bobwhite,G1,7,43,0.07,61.2636,-2.69,2.02,13.3595,20.48,23.94,20.43,0.21,-1.6676,1823.3392,24.89,0.58,60.96,0.03
86,AER2,R2,Rep2,sand,Chigunwe,G2,5,25,0.17,59.2955,-4.23,4.79,4.1082,12.44,16.54,17.68,0.2,-4.5969,411.5523,47.44,0.56,59.92,0.04
87,AER2,R2,Rep2,sand,Chizambia,G3,4,15.09,0.11,63.9279,-3.35,9.15,3.4204,29.68,34.19,18.32,0.13,-2.4758,65.6085,35.72,0.55,58.77,0.03
88,AER2,R2,Rep2,sand,Guinea_fowl,G4,6,35.37,0.01,56.5691,-3.34,11.37,13.1077,31.05,34.71,49,0.13,-5.2253,141.3336,35.3,0.57,60.14,0.03
89,AER2,R2,Rep2,sand,Kabhutsu,G5,7,53.37,0.19,71.2055,-3.57,7.4,17.342,21.75,35.61,22.79,0.11,-1.1683,240.427,39.05,0.57,60.41,0.04
90,AER2,R2,Rep2,sand,Kasawaya,G6,7,59.09,0.12,47.2939,-1.45,13.1,15.0601,30.58,34.35,57.27,0.15,-6.6279,174.8789,44.32,0.58,61.45,0.02
91,AER2,R2,Rep2,sand,Makulu_red,G7,6,40,0.15,69.6547,-3.74,7.73,21.8529,30.93,34.64,53.36,0.18,-3.7598,172.1319,40.43,0.56,60.14,0.03
92,AER2,R2,Rep2,sand,Munzungu_munemari,G8,7,46.52,0.29,62.1106,-3.04,7.55,24.2134,30.56,34.06,52.17,0.21,-3.6123,12.6645,30.26,0.57,60.02,0.03
93,AER2,R2,Rep2,sand,Murambatsvina,G9,5,21.46,0.08,52.8628,-5.38,10.06,11.3399,35.58,44.18,68.44,0.21,-3.2782,101.5792,33.79,0.57,60.72,0.03
94,AER2,R2,Rep2,sand,Muromo_wehoto,G10,6,33.65,0.29,62.6993,-6.26,3.43,15.7112,20.95,34.61,33.06,0.21,-1.4019,96.5832,33.64,0.57,60.73,0.03
95,AER2,R2,Rep2,sand,Natal_common,G11,7,42.64,0.27,67.892,-3.6,11.13,23.8686,30.32,35.1,44.94,0.17,-4.2689,184.74,38.89,0.57,60.46,0.03
96,AER2,R2,Rep2,sand,Tumbe,G12,6,36.01,0.19,22.8895,-3.48,6.22,17.4702,31.21,34.82,34.68,0.22,-2.5589,145.8777,39.1,0.55,58.32,0.03
97,AER2,R2,Rep3,sand,Bobwhite,G1,6,40,0.08,68.9353,2.35,3.03,11.523,23.58,27.48,27.42,0.11,-7.9697,1835.4771,30.76,0.54,58.66,0.18
98,AER2,R2,Rep3,sand,Chigunwe,G2,5,24.5,0.18,50.2827,2.29,5.36,3.1351,22.18,16.22,18.61,0.15,-7.585,442.8519,29.32,0.55,59.96,0.16
99,AER2,R2,Rep3,sand,Chizambia,G3,4,12.19,0.13,63.1853,-3.4,8.85,2.3957,31.26,35.11,16.12,0.14,-3.9907,1337.4544,36.61,0.52,58.79,0.26
100,AER2,R2,Rep3,sand,Guinea_fowl,G4,6,30.67,0.02,54.8891,3.51,12.68,12.6178,31.66,35.61,44.02,0.14,-5.4994,1267.8157,33.81,0.55,61.25,0.25
101,AER2,R2,Rep3,sand,Kabhutsu,G5,7,50.35,0.1,71.3908,-3.11,7.69,12.9668,21.41,35.38,20.29,0.19,-3.4608,383.8356,29.01,0.55,59.54,0.15
102,AER2,R2,Rep3,sand,Kasawaya,G6,7,55.07,0.09,46.9013,-1.4,16.19,14.3991,33.23,37.4,54.03,0.11,-6.5454,558.929,29.78,0.56,60.81,0.17
103,AER2,R2,Rep3,sand,Makulu_red,G7,7,42,0.18,69.4505,-3.8,6.93,21.2947,33.2,37.23,51.93,0.17,-4.9358,495.6737,28.9,0.56,60.59,0.17
104,AER2,R2,Rep3,sand,Munzungu_munemari,G8,7,48.31,0.28,61.477,-5.2,6.19,23.0151,30.8,34.65,56.23,0.23,-4.7494,1552.8717,38.53,0.51,57.41,0.26
105,AER2,R2,Rep3,sand,Murambatsvina,G9,5,22.04,0.07,57.7836,-6.3,11.85,13.6364,32.33,36.2,65.57,0.22,-5.0089,1679.193,38.07,0.52,58.71,0.27
106,AER2,R1,Rep3,sand,Muromo_wehoto,G10,6,35.1,0.27,61.3908,-6.36,4.69,20.9668,21.41,35.38,30.29,0.29,-2.4608,383.8356,29.01,0.55,59.54,0.15
107,AER2,R1,Rep3,sand,Natal_common,G11,7,46.61,0.23,61.4211,-4.1,15.84,32.8715,32.83,36.53,54.33,0.16,-5.2292,1494.1738,35.68,0.53,59.78,0.27
108,AER2,R1,Rep3,sand,Tumbe,G12,8,77.13,0.15,27.5138,-3.32,7.7,16.497,32.32,36.23,22.9,0.24,-4.9521,1678.6162,38.18,0.52,58.79,0.27
1,AER2,R2,Rep4,red,Kasawaya,G6,5,22.28,0.16,2.28,11.85,0,15.51,15.25,0,0,0,20.98,922.92,35.19,0.51,55.58,0.09
2,AER2,R2,Rep4,red,Natal_common,G11,5,30.1,0.44,-5.12,6.24,3.33,27.7,43.81,-3.25,2136.05,49.86,49.73,1846.51,64.99,0.53,59.57,0.13
3,AER2,R2,Rep4,red,Makulu_red,G7,6,33,0.36,-8.29,35.31,3.5,37.85,48.12,-2.5,0,65.32,58.67,3981.83,97.49,0.5,58.76,0.15
4,AER2,R2,Rep4,red,Tumbe,G12,6,35,0.5,-7.54,2.72,3.92,27.5,25.34,-1.64,2373.12,48.15,56.42,1820.82,70.21,0.49,55.57,0.13
5,AER2,R2,Rep4,red,Murambatsvina,G9,7,40.5,0.59,-10.19,-1.85,5.17,25.55,26.97,1.89,2641.17,30.42,67.41,2263.85,72.58,0.51,57.81,0.14
6,AER2,R2,Rep4,red,Munzungu_munemari,G8,7,42.5,0.4,-3.3,7.58,6.72,24.55,48.57,-4.55,1641.27,54.71,44.95,706.48,33.17,0.46,50.9,0.14
7,AER2,R2,Rep4,red,Chizambia,G3,7,43.5,0.39,-2.18,9.65,7.81,25.15,39.07,-5.87,1373.49,60.6,41.82,0,68.16,0.5,57.98,0.2
8,AER2,R2,Rep4,red,Chigunwe,G2,7,45.5,0.08,-4.5,5.41,8.59,25.09,26.69,-19.1,3047.46,25.28,76.71,0,70.51,0.49,56.5,0.18
9,AER2,R2,Rep4,red,Bobwhite,G1,7,47,0.17,-15.85,-39.63,8.79,46.34,80.79,-19,3627.83,79.84,85.67,2926.36,85.06,0.49,57.47,0.15
10,AER2,R2,Rep4,red,Guinea_fowl,G4,7,48,0.25,12.1,18.59,9.08,25.5,37.03,-22.98,2008.75,60.5,50.48,2001.89,81.31,0.47,55.42,0.19
11,AER2,R2,Rep4,red,Muromo_wehoto,G10,7,52,0.43,-4.6,4.05,12.29,21,18.34,-4.08,1149.36,63.43,49.43,2517.27,64.77,0.52,59.32,0.17
12,AER2,R2,Rep4,red,Kabhutsu,G5,7,59,0.36,-2.86,11.6,23,33.28,54.45,0,0,0,45.62,2342.03,66.63,0.47,54.43,0.16
13,AER2,R2,Rep5,red,Kasawaya,G6,5,28,0.25,4.06,22.11,0,34.93,79.94,0,0,0,36.72,2335.92,67.7,0.51,58.22,0.15
14,AER2,R2,Rep5,red,Natal_common,G11,6,33.5,0.34,-0.4,13.33,3.98,28.68,55.52,-15.17,556.29,64.4,40.31,3993.64,87.33,0.51,59.38,0.17
15,AER2,R2,Rep5,red,Makulu_red,G7,6,35,0.38,-8.2,33.25,4.1,36.3,49.35,-1.5,0,64.35,36.64,4109.03,97.62,0.53,62.56,0.15
16,AER2,R2,Rep5,red,Tumbe,G12,6,38.5,0.38,0.06,10.57,5.38,19.44,16.26,-5.57,624.52,45.78,32.01,2230.51,83.67,0.55,61.68,0.11
17,AER2,R2,Rep5,red,Murambatsvina,G9,7,42.5,0.39,-3.52,8.19,5.68,27.88,62.11,-3.03,2804.41,32.17,46.94,4353.88,97.17,0.49,58.62,0.16
18,AER2,R2,Rep5,red,Munzungu_munemari,G8,7,43,0.54,-9.89,0.26,7.85,30.22,31.38,3.66,4073.77,19.81,62.44,604.04,29.65,0.51,56.03,0.13
19,AER2,R2,Rep5,red,Chizambia,G3,7,45.3,0.54,-8.05,3.5,8.93,31.37,52.47,-0.48,3158.38,26.98,56.24,0,87.5,0.53,62.09,0.17
20,AER2,R2,Rep5,red,Chigunwe,G2,7,47.4,0.09,-5.1,6.54,10.63,28.22,32.06,-21,1391.23,31.68,49.69,0,89.39,0.54,62.94,0.15
21,AER2,R2,Rep5,red,Bobwhite,G1,7,48,0.18,-16.58,34.34,12.67,40.54,82.8,-18.44,2715.13,89.25,43.02,1173.5,51.56,0.53,58.48,0.11
22,AER2,R2,Rep5,red,Guinea_fowl,G4,7,49.5,0.28,10.51,19.14,14.57,29.22,44.74,-19.33,1251.3,61.5,34.22,3033.2,63.29,0.51,58.36,0.19
23,AER2,R2,Rep5,red,Muromo_wehoto,G10,7,53,0.52,-7.04,5.1,15.66,31.75,27.88,-1.09,3207.05,36.29,53.65,2821.3,82.88,0.55,62.36,0.13
24,AER2,R2,Rep5,red,Kabhutsu,G5,7,60.1,0.24,7.4,25.86,24,28.42,39.12,-12.29,643.16,67.36,27.44,4189.63,87.5,0.51,59.92,0.17
25,AER2,R2,Rep6,red,Kasawaya,G6,6,30.5,0.53,-10.61,-2.76,0,25.13,20.79,1.63,3202.53,37.26,69.92,2540.58,73.29,0.52,59.61,0.15
26,AER2,R2,Rep6,red,Natal_common,G11,6,35,0.51,-9.75,-4.06,1.74,18.97,17.49,2.26,2247.81,38.53,77.83,3537.21,90.79,0.55,63.82,0.15
27,AER2,R2,Rep6,red,Makulu_red,G7,6,36.5,0.41,-7.89,33.21,2.53,33.44,51.3,-2.5,0,68.72,53.08,4007.77,66.28,0.46,55.71,0.3
28,AER2,R2,Rep6,red,Tumbe,G12,6,40.1,0.46,-7.37,0.63,3.4,22.32,38.91,-1.04,2351.81,44.77,60.45,1701.8,68.81,0.55,61.01,0.12
29,AER2,R2,Rep6,red,Murambatsvina,G9,7,43.5,0.62,-14.5,-8.04,3.49,25.5,17.55,5.63,3781.56,28.25,82.72,1828.01,48.1,0.44,51.24,0.29
30,AER2,R2,Rep6,red,Munzungu_munemari,G8,7,44,0.82,-19.58,-13.12,3.55,31.04,15.11,0,0,0,87.61,1233.35,33.1,0.51,57.35,0.29
31,AER2,R2,Rep6,red,Chizambia,G3,7,46,0.63,-11.39,-6.04,4.5,19.67,12.64,7.85,1361.94,13.55,84.12,0,49.53,0.49,58.08,0.31
32,AER2,R2,Rep6,red,Chigunwe,G2,7,48.5,0.07,-5.3,-7.52,4.85,25.32,36.98,-23.5,4107.64,30.61,93.47,1927.36,62.15,0.55,61.17,0.15
33,AER2,R2,Rep6,red,Bobwhite,G1,7,49.3,0.13,-19.14,-38.45,6.48,45.92,84.94,-20.62,2886.72,81.12,63.94,1537.26,42.04,0.42,49.37,0.29
34,AER2,R2,Rep6,red,Guinea_fowl,G4,7,50.1,0.29,11.65,18.9,9.68,27.41,40.18,-18.5,2313.9,60.42,70.42,2427.65,41.45,0.49,56.75,0.33
35,AER2,R2,Rep6,red,Muromo_wehoto,G10,7,55,0.73,-16.89,-10.97,16.55,26.48,14.08,7.7,4430.24,18.62,88.32,2454.84,68.95,0.46,53.58,0.18
36,AER2,R2,Rep6,red,Kabhutsu,G5,8,62.5,0.72,-16.24,-11.28,25,23.22,9.63,7.54,3983.84,20.98,93.81,1766.54,38.78,0.47,55.27,0.34
37,AER2,R3,Rep1,sand,Kasawaya,G6,6,34.5,0.1,-3.81,19.69,6.9217,26.63,77.74,-7.7287,1592.5921,81.4093,46.51,2351.81,60.45,0.44,50.5,0.17
38,AER2,R3,Rep1,sand,Natal_common,G11,6,38,0.06,-5.53,20.86,9.0472,46.48,69.99,-6.5245,793.414,75.7217,55.31,1626.12,57.06,0.53,58.36,0.1
39,AER2,R3,Rep1,sand,Makulu_red,G7,6,39.7,0.32,-4,9.47,12.2509,38.05,60.61,-5.7913,2280.9506,82.3358,49.63,3226.78,95.79,0.54,61.24,0.11
40,AER2,R3,Rep1,sand,Tumbe,G12,7,44.3,0.16,-6.35,16.45,15.1192,41.39,42.86,6.6175,1850.5744,35.9869,70.35,1766.79,67.72,0.56,61.88,0.11
41,AER2,R3,Rep1,sand,Murambatsvina,G9,7,47.7,0.2,-6.4,19.02,18.3236,38.62,72.91,-8.5832,1553.918,63.3882,45.95,1200.34,44.31,0.52,56.7,0.12
42,AER2,R3,Rep1,sand,Munzungu_munemari,G8,7,48.6,0.01,-4.97,8.68,19.9191,38.98,69.55,-5.31,1480.1581,70.0121,51.4,453.67,29.08,0.43,47.22,0.1
43,AER2,R3,Rep1,sand,Chizambia,G3,7,51.8,0.28,-1.06,14.48,21.7386,26.06,42.71,-6.4133,1479.994,86.3239,44.85,2734.95,74.54,0.53,59.96,0.13
44,AER2,R3,Rep1,sand,Chigunwe,G2,7,52,0.56,-8.14,15.25,24.0763,24.93,31.74,-7.71,1352.4373,12.9137,62.29,2308.46,64.16,0.53,59.64,0.12
45,AER2,R3,Rep1,sand,Bobwhite,G1,7,53.8,0.12,-4.56,15.68,28.1467,24.99,77.6,-0.4129,1578.3776,29.2127,49.14,3076.44,80.76,0.46,54.01,0.16
46,AER2,R3,Rep1,sand,Guinea_fowl,G4,7,55.8,0.08,-1.54,10.42,28.8381,26.05,65.49,-3.4012,1304.5999,80.2908,41.98,0,73.29,0.53,59.31,0.12
47,AER2,R3,Rep1,sand,Muromo_wehoto,G10,7,58.5,0.14,-7.12,6.24,31.1493,29.4,68.25,-5.1834,2292.4346,78.0679,50.81,2957.35,82.58,0.52,59.31,0.13
48,AER2,R3,Rep1,sand,Kabhutsu,G5,8,65.3,0.16,-3.43,14.45,35.7405,27.82,76.56,-9.21,1118.88,23.6035,43.9,2343.53,61.02,0.53,59.13,0.13
49,AER2,R3,Rep2,sand,Kasawaya,G6,6,35,0.11,-3.8,18.36,8.0151,24.61,85.26,-8.0223,1156.2791,86.1732,39.51,0,67.22,0.53,59.69,0.13
50,AER2,R3,Rep2,sand,Natal_common,G11,6,38.3,0.13,-5.42,22.66,8.4556,45.58,67.85,-6.6787,1161.9169,72.1331,37.63,3159.86,63.93,0.51,58.14,0.16
51,AER2,R3,Rep2,sand,Makulu_red,G7,7,40.5,0.31,-4.8,10.91,12.9688,35.16,69.65,-5.4862,1266.6932,84.3738,39.68,3329.04,84.99,0.51,58.97,0.14
52,AER2,R3,Rep2,sand,Tumbe,G12,7,45,0.11,-6.93,11.82,15.4382,45.84,46.32,-7.2422,1137.5095,32.4051,39.29,1191.92,42.81,0.52,57.09,0.12
53,AER2,R3,Rep2,sand,Murambatsvina,G9,7,49,0.18,-7,18.22,18.017,36.72,79.3,-7.7312,1109.1665,66.0302,35.63,3839.29,100.61,0.52,60.41,0.13
54,AER2,R3,Rep2,sand,Munzungu_munemari,G8,7,49,0.02,-4.23,9.93,20.8477,35.72,70.99,-6.9241,1159.4811,73.0857,37.52,700.21,34.43,0.55,59.29,0.11
55,AER2,R3,Rep2,sand,Chizambia,G3,7,52,0.22,-1.03,13.79,22.6181,26.87,45.7,-6.9306,1236.9697,89.9601,37.59,0,59.55,0.51,56.96,0.14
56,AER2,R3,Rep2,sand,Chigunwe,G2,7,53.9,0.52,-7.66,12.95,24.5256,27.15,31.67,-6.3837,1397.0135,13.3167,38.97,0,65.67,0.51,57.81,0.13
57,AER2,R3,Rep2,sand,Bobwhite,G1,7,54.3,0.11,-0.65,11.78,25.9349,24.36,78.17,-4.2556,1070.278,23.0795,37.48,1393.81,46.35,0.53,58.65,0.13
58,AER2,R3,Rep2,sand,Guinea_fowl,G4,7,56,0.09,-0.91,11.3,28.9655,24.31,62.86,-5.8059,1114.8246,89.4299,38.21,1475.02,44.46,0.54,59.73,0.12
59,AER2,R3,Rep2,sand,Muromo_wehoto,G10,7,60,0.13,-7.25,6.01,35.4182,25.46,77.27,-6.0666,1125.7771,80.5784,38.24,2484.45,76.55,0.53,59.36,0.12
60,AER2,R3,Rep2,sand,Kabhutsu,G5,8,66,0.1,-3.3,14.07,36.2586,25.97,75.73,-7.2226,1089.3591,26.0935,36.22,3145.72,71.58,0.52,59.45,0.15
61,AER2,R3,Rep3,sand,Kasawaya,G6,6,37,0.11,-3.15,17.79,4.0275,20.52,75.44,-10.817,1272.6397,85.5321,34.93,1413.68,49.25,0.58,63.09,0.12
62,AER2,R3,Rep3,sand,Natal_common,G11,6,40.2,0.17,-6.1,21.18,7.2522,48.6,63.57,-6.5605,102.0409,76.8382,28.93,2838.34,43,0.49,57.38,0.34
63,AER2,R3,Rep3,sand,Makulu_red,G7,7,42,0.36,-4.5,12.54,14.0228,40.28,73.11,-6.0349,1362.8381,88.75,36.73,2801.57,46.82,0.47,55.52,0.32
64,AER2,R3,Rep3,sand,Tumbe,G12,7,46.5,0.17,-6.8,16.47,14.1439,40.54,40.52,-8.3686,1446.682,31.5852,37.98,1237.42,43.38,0.53,58.43,0.15
65,AER2,R3,Rep3,sand,Murambatsvina,G9,7,50.4,0.18,-0.73,16.42,18.9707,37.14,77.68,-8.9771,1350.6591,63.1048,37.82,1617.61,35.75,0.44,51.71,0.36
66,AER2,R3,Rep3,sand,Munzungu_munemari,G8,7,51,0.04,-5.53,10.06,22.9054,37.95,70.29,-7.0354,1262.0165,78.8346,40.8,1324.08,32.41,0.52,58.56,0.31
67,AER2,R3,Rep3,sand,Chizambia,G3,7,52.5,0.28,1.51,15.73,23.2287,26.84,48.08,-9.2278,1151.7138,85.1157,35.57,1987.73,35.89,0.45,52.86,0.36
68,AER2,R3,Rep3,sand,Chigunwe,G2,7,54.3,0.57,-7.45,17.96,24.2976,30.49,30.56,-9.4201,1398.6367,12.2151,36.46,0,45.86,0.47,55.25,0.34
69,AER2,R3,Rep3,sand,Bobwhite,G1,7,55,0.11,-0.28,12.51,24.7966,30.64,79.79,-3.1353,1317.4602,25.0072,35.22,841.02,39.25,0.49,55.21,0.2
70,AER2,R3,Rep3,sand,Guinea_fowl,G4,7,58,0.1,-0.85,11.22,26.1093,24.88,72.35,-4.1401,1147.874,86.0906,33.59,1344.52,39.05,0.56,61.97,0.18
71,AER2,R3,Rep3,sand,Muromo_wehoto,G10,8,61,0.17,-7.85,6.68,33.1084,28.56,66.79,-7.7882,1316.6,80.2306,39.67,3349.31,51.82,0.45,54.05,0.34
72,AER2,R3,Rep3,sand,Kabhutsu,G5,8,66.5,0.16,-3.5,16.46,35.8584,28.7,75.28,-8.7349,1228.7197,23.3819,36.32,978.6,33.24,0.51,56.43,0.22
73,AER2,R3,Rep4,sand,Bobwhite,G1,7,40,0.04,29.2127,-4.56,15.68,24.0763,24.99,28.71,77.6,0.12,-0.4129,1578.3776,49.14,0.43,49.94,0.22
74,AER2,R3,Rep4,sand,Chigunwe,G2,6,38.3,0.38,12.9137,-8.14,15.25,6.9217,24.93,27.81,31.74,0.56,-7.71,1352.4373,62.29,0.36,43.22,0.25
75,AER2,R3,Rep4,sand,Chizambia,G3,5,28.93,0.16,86.3239,-1.06,14.48,9.0472,26.06,29.93,42.71,0.28,-6.4133,1479.994,44.85,0.46,52.43,0.22
76,AER2,R3,Rep4,sand,Guinea_fowl,G4,7,54.81,0.01,80.2908,-1.54,10.42,19.9191,26.05,28.86,65.49,0.08,-3.4012,1304.5999,41.98,0.42,48.89,0.25
77,AER2,R3,Rep4,sand,Kabhutsu,G5,7,46.15,0.06,23.6035,-3.43,14.45,15.1192,27.82,31.99,76.56,0.16,-9.21,1118.88,43.9,0.49,54.42,0.12
78,AER2,R3,Rep4,sand,Kasawaya,G6,4,12.45,0.06,81.4093,-3.81,19.69,28.8381,26.63,30.88,77.74,0.1,-7.7287,1592.5921,46.51,0.47,53.72,0.22
79,AER2,R3,Rep4,sand,Makulu_red,G7,4,19.6,0.12,82.3358,-4,9.47,28.1467,38.05,38.36,60.61,0.32,-5.7913,2280.9506,49.63,0.46,53.31,0.24
80,AER2,R3,Rep4,sand,Munzungu_munemari,G8,7,57.21,0.19,70.0121,-4.97,8.68,31.1493,38.98,38.24,69.55,0.01,-5.31,1480.1581,51.4,0.47,52.26,0.13
81,AER2,R3,Rep4,sand,Murambatsvina,G9,7,55.42,0.05,63.3882,-6.4,19.02,12.2509,38.62,52.48,72.91,0.2,-8.5832,1553.918,45.95,0.46,53,0.25
82,AER2,R3,Rep4,sand,Muromo_wehoto,G10,8,71.69,0.04,78.0679,-7.12,6.24,21.7386,29.4,38.88,68.25,0.14,-5.1834,2292.4346,50.81,0.47,54.1,0.25
83,AER2,R3,Rep4,sand,Natal_common,G11,7,54.3,0.11,75.7217,-5.53,20.86,35.7405,46.48,41.24,69.99,0.06,-6.5245,793.414,55.31,0.52,57.27,0.09
84,AER2,R3,Rep4,sand,Tumbe,G12,7,49.5,0.09,35.9869,-6.35,16.45,18.3236,41.39,42.06,42.86,0.16,6.6175,1850.5744,70.35,0.49,55.46,0.14
85,AER2,R3,Rep5,sand,Bobwhite,G1,7,41,0.03,23.0795,-0.65,11.78,24.5256,24.36,28.84,78.17,0.11,-4.2556,1070.278,37.48,0.53,58.35,0.18
86,AER2,R3,Rep5,sand,Chigunwe,G2,6,33.5,0.31,13.3167,-7.66,12.95,8.0151,27.15,31.52,31.67,0.52,-6.3837,1397.0135,38.97,0.51,57.78,0.21
87,AER2,R3,Rep5,sand,Chizambia,G3,5,27.51,0.12,89.9601,-1.03,13.79,8.4556,26.87,31.13,45.7,0.22,-6.9306,1236.9697,37.59,0.52,57.85,0.21
88,AER2,R3,Rep5,sand,Guinea_fowl,G4,7,45.94,0.01,89.4299,-0.91,11.3,18.017,24.31,28.73,62.86,0.09,-5.8059,1114.8246,38.21,0.52,57.6,0.18
89,AER2,R3,Rep5,sand,Kabhutsu,G5,7,45.64,0.02,26.0935,-3.3,14.07,12.9688,25.97,30.26,75.73,0.1,-7.2226,1089.3591,36.22,0.53,58.42,0.2
90,AER2,R3,Rep5,sand,Kasawaya,G6,4,11.65,0.08,86.1732,-3.8,18.36,28.9655,24.61,39.92,85.26,0.11,-8.0223,1156.2791,39.51,0.56,62.11,0.17
91,AER2,R3,Rep5,sand,Makulu_red,G7,4,20.05,0.11,84.3738,-4.8,10.91,22.6181,35.16,39.8,69.65,0.31,-5.4862,1266.6932,39.68,0.52,58.24,0.19
92,AER2,R3,Rep5,sand,Munzungu_munemari,G8,7,56.32,0.13,73.0857,-4.23,9.93,35.4182,35.72,39.93,70.99,0.02,-6.9241,1159.4811,37.52,0.51,57.21,0.2
93,AER2,R3,Rep5,sand,Murambatsvina,G9,7,58.24,0.04,66.0302,-7,18.22,15.4382,36.72,50.85,79.3,0.18,-7.7312,1109.1665,35.63,0.52,58.21,0.21
94,AER2,R3,Rep5,sand,Muromo_wehoto,G10,8,75.58,0.03,80.5784,-7.25,6.01,25.9349,25.46,40.39,77.27,0.13,-6.0666,1125.7771,38.24,0.55,60.66,0.18
95,AER2,R3,Rep5,sand,Natal_common,G11,7,53.48,0.14,72.1331,-5.42,22.66,36.2586,45.58,40.02,67.85,0.13,-6.6787,1161.9169,37.63,0.52,58.34,0.2
96,AER2,R3,Rep5,sand,Tumbe,G12,7,49.23,0.09,32.4051,-6.93,11.82,20.8477,45.84,49.95,46.32,0.11,-7.2422,1137.5095,39.29,0.5,55.88,0.21
97,AER2,R3,Rep6,sand,Bobwhite,G1,7,45,0.02,25.0072,-0.28,12.51,23.2287,30.64,33.56,79.79,0.11,-3.1353,1317.4602,35.22,0.49,55.44,0.27
98,AER2,R3,Rep6,sand,Chigunwe,G2,6,36.43,0.35,12.2151,-7.45,17.96,4.0275,30.49,34.15,30.56,0.57,-9.4201,1398.6367,36.46,0.51,57.6,0.26
99,AER2,R3,Rep6,sand,Chizambia,G3,5,27.59,0.18,85.1157,1.51,15.73,7.2522,26.84,29.93,48.08,0.28,-9.2278,1151.7138,35.57,0.47,53.44,0.24
100,AER2,R3,Rep6,sand,Guinea_fowl,G4,7,49.32,0.03,86.0906,-0.85,11.22,18.9707,24.88,24.58,72.35,0.1,-4.1401,1147.874,33.59,0.53,59.81,0.25
101,AER2,R3,Rep6,sand,Kabhutsu,G5,7,41.5,0.05,23.3819,-3.5,16.46,14.0228,28.7,32.52,75.28,0.16,-8.7349,1228.7197,36.32,0.51,57.35,0.24
102,AER2,R3,Rep6,sand,Kasawaya,G6,4,12.34,0.09,85.5321,-3.15,17.79,22.9054,20.52,40.98,75.44,0.11,-10.817,1272.6397,34.93,0.47,53.75,0.28
103,AER2,R3,Rep6,sand,Makulu_red,G7,5,20.77,0.14,88.75,-4.5,12.54,24.7966,40.28,39.76,73.11,0.36,-6.0349,1362.8381,36.73,0.5,56.58,0.26
104,AER2,R3,Rep6,sand,Munzungu_munemari,G8,7,52.12,0.11,78.8346,-5.53,10.06,35.8584,37.95,42.74,70.29,0.04,-7.0354,1262.0165,40.8,0.53,59.17,0.22
105,AER2,R3,Rep6,sand,Murambatsvina,G9,7,58.12,0.03,63.1048,-0.73,16.42,14.1439,37.14,53.67,77.68,0.18,-8.9771,1350.6591,37.82,0.49,56.14,0.26
